Slide Name,Slide Text,Type,Direction,Features,Expected Response,Expected Effect,Syllables,Verb,Object
meta,,,,,,,,,
I,is001.jpg,,,,,,,,
I2,is002.jpg,,,,,,,,
I,is003.jpg,,,,,,,,
I4,is004.jpg,,,,,,,,
P1T1,Jorge está comprando la comida.,Practice,,,,,,,
P1T2,Berto pidío la cerveza.,Practice,,,,,,,
P1T3,Sara nadaba el balón.,Practice,,,,,,,
P1T4,Marco está cocinando el huevo.,Practice,,,,,,,
P1T5,Coco mastica la almohada.,Practice,,,,,,,
I5,Now for the real thing!,,,,,,,,
B1T1,Elsa comió la naranja.,Critical,Toward,Preterite,Away/Green,Interference,8,Comer,Naranja
B1T2,Berto está lanzando el balón.,Critical,Away,PresProg,Away/Green,Facilitation,9,Lanzar,Balón
B1T3,Inés hervirá la puerta.,Filler,None,Mfuture_F,Close/Red,Neither,8,,
B1T4,Parece que Carla está arrojando la pelota.,Critical,Away,SubIndic,Away/Green,Facilitation,16,Arrojar,Pelota
B1T5,Moises está abriendo la cerveza.,Filler,None,PresProg_F,Away/Green,Neither,12,,
B1T6,Parece que Eva esté conduciendo la puerta.,Filler,None,SubSubj_F,Close/Red,Neither,16,,
B1T7,Ramón tomaba la pelota.,Critical,Toward,Imperfect,Away/Green,Interference,9,Tomar,Pelota
B1T8,Moises tira la naranja.,Critical,Away,Present,Away/Green,Facilitation,8,Tirar,Naranja
B1T9,Jorge beberá la cerveza.,Critical,Toward,Mfuture,Away/Green,Interference,9,Beber,Cerveza
B1T10,Pilar vio la almohada.,Filler,None,Preterite_F,Away/Green,Neither,8,,
B1T11,Parece que Berto esté atrapando el balón.,Critical,Toward,SubSubj,Away/Green,Interference,15,Atrapar,Balón
B1T12,Lupe pensó la puerta. ,Filler,None,Preterite_F,Close/Red,Neither,7,,
B1T13,Elsa va a masticar la cerveza.,Filler,None,Pfuture_F,Close/Red,Neither,11,,
B1T14,Parece que Jorge está lanzando el balón.,Critical,Away,SubIndic,Away/Green,Facilitation,14,Lanzar,Balón
B1T15,Sara está recogiendo la almohada.,Critical,Toward,PresProg,Away/Green,Interference,13,Recoger,Almohada
B1T16,Ruben va a empujar la puerta.,Critical,Away,Pfuture,Away/Green,Facilitation,10,Empujar,Puerta
B1T17,Parece que Inés está visualizando la pelota.,Filler,None,SubIndic_F,Away/Green,Neither,17,,
B1T18,Parece que Simón esté golpeando la almohada.,Critical,Away,SubSubj,Away/Green,Facilitation,17,Golpear,Almohada
B1T19,Carmen comerá la naranja.,Critical,Toward,Mfuture,Away/Green,Interference,9,Comer,Naranja
B1T20,Pablo está nadando el balón.,Filler,None,PresProg_F,Close/Red,Neither,10,,
B1T21,Carlos rechazó la cerveza.,Critical,Away,Preterite,Away/Green,Facilitation,9,Rechazar,Cerveza
B1T22,Coco va a atrapar el balón.,Critical,Toward,Pfuture,Away/Green,Interference,10,Atrapar,Balón
B1T23,José empujará la puerta.,Critical,Away,Mfuture,Away/Green,Facilitation,9,Empujar,Puerta
B1T24,Victor cantaba la pelota.,Filler,None,Imperfect_F,Close/Red,Neither,9,,
B1T25,Pilar rechazaba la cerveza.,Critical,Away,Imperfect,Away/Green,Facilitation,10,Rechazar,Cerveza
B1T26,Lupe peló la naranja.,Filler,None,Preterite_F,Away/Green,Neither,8,,
B1T27,Parece que Luis esté empujando la puerta.,Critical,Away,SubIndic,Away/Green,Facilitation,15,Empujar,Puerta
B1T28,Andrés va a beber la cerveza.,Critical,Toward,Pfuture,Away/Green,Interference,10,Beber,Cerveza
B1T29,Berto instalaba la puerta.,Filler,None,Imperfect_F,Away/Green,Neither,9,,
B1T30,Rosa va a patear la pelota.,Filler,None,Pfuture_F,Away/Green,Neither,11,,
B1T31,Parece que Jorge está comiendo la naranja.,Critical,Toward,SubIndic,Away/Green,Interference,16,Comer,Naranja
B1T32,Inés arrojará la pelota.,Critical,Away,Mfuture,Away/Green,Facilitation,10,Arrojar,Pelota
B1T33,Andrés asalta la cerveza.,Filler,None,Present_F,Close/Red,Neither,9,,
B1T34,Eva jaló la puerta.,Critical,Toward,Preterite,Away/Green,Interference,7,Jalar,Puerta
B1T35,Ruben notó la pelota.,Filler,None,Preterite_F,Away/Green,Neither,8,,
B1T36,Parece que Norma esté bebiendo la cerveza.,Critical,Toward,SubSubj,Away/Green,Interference,16,Beber,Cerveza
B1T37,César está leyendo la naranja.,Filler,None,PresProg_F,Close/Red,Neither,11,,
B1T38,Parece que Elsa esté comprando la naranja.,Filler,None,SubSubj_F,Away/Green,Neither,15,,
B1T39,Marco recoge la almohada.,Critical,Toward,Present,Away/Green,Interference,10,Recoger,Almohada
B1T40,Elsa está tirando la naranja.,Critical,Away,PresProg,Away/Green,Facilitation,11,,
I6,Take a break...you deserve it!,,,,,,,,
B2T1,Pilar va a instalar la puerta.,Filler,None,Pfuture_F,Away/Green,Neither,10,,
B2T2,Berto atrapaba el balón.,Critical,Toward,Imperfect,Away/Green,Interference,9,Atrapar,Balón
B2T3,Marco va a arrojar la pelota.,Critical,Away,Mfuture,Away/Green,Facilitation,11,Arrojar,Pelota
B2T4,Parece que Luis está jalando la puerta.,Critical,Toward,SubIndic,Away/Green,Interference,14,Jalar,Puerta
B2T5,Moises va a hervir la almohada.,Filler,None,Pfuture_F,Close/Red,Neither,11,,
B2T6,Sara rechaza la cerveza.,Critical,Away,Present,Away/Green,Facilitation,9,Rechazar,Cerveza
B2T7,Rosa saludará la pelota.,Filler,None,Mfuture_F,Close/Red,Neither,10,,
B2T8,Laura golpeaba la almohada.,Critical,Away,Imperfect,Away/Green,Facilitation,11,Golpear,Almohada
B2T9,Carlos jala la puerta.,Critical,Toward,Present,Away/Green,Interference,7,Jalar,Puerta
B2T10,Hugo inflará el balón.,Filler,None,Mfuture_F,Away/Green,Neither,8,,
B2T11,Luis está bebiendo la cerveza.,Critical,Toward,PresProg,Away/Green,Interference,11,Beber,Cerveza
B2T12,Carla arrojó la pelota.,Critical,Away,Preterite,Away/Green,Facilitation,9,Arrojar,Pelota
B2T13,Parece que Hugo está apagando la naranja,Filler,None,SubIndic_F,Close/Red,Neither,16,,
B2T14,Luis lanzará el balón.,Critical,Away,Mfuture,Away/Green,Facilitation,8,Lanzar,Balón
B2T15,Sara toma la pelota.,Critical,Toward,Present,Away/Green,Interference,8,Tomar,Pelota
B2T16,Parece que Pedro esté bebiendo el balón.,Filler,None,SubSubj_F,Close/Red,Neither,14,,
B2T17,Berto va a golpear la almohada.,Critical,Away,Pfuture,Away/Green,Facilitation,12,Golpear,Almohada
B2T18,Inés va a comer la naranja.,Critical,Toward,Mfuture,Away/Green,Interference,10,Comer,Naranja
B2T19,Parece que Norma está rechazando la cerveza.,Critical,Away,SubIndic,Away/Green,Facilitation,16,Rechazar,Cerveza
B2T20,Carlos atrapó el balón.,Critical,Toward,Preterite,Away/Green,Interference,8,Atrapar,Balón
B2T21,Rita llevará la naranja.,Filler,None,Mfuture_F,Away/Green,Neither,9,,
B2T22,Carla compraba el balón.,Filler,None,Imperfect_F,Away/Green,Neither,8,,
B2T23,Parece que Carla esté tomando la pelota.,Critical,Toward,SubSubj,Away/Green,Interference,15,Tomar,Pelota
B2T24,Carla sorbió el balón.,Filler,None,Preterite_F,Close/Red,Neither,7,,
B2T25,Norma está empujando la puerta.,Critical,Away,PresProg,Away/Green,Facilitation,11,Empujar,Puerta
B2T26,Berto golpeó la almohada.,Critical,Away,Preterite,Away/Green,Facilitation,10,Golpear,Almohada
B2T27,Pablo jalaba la puerta.,Critical,Toward,Imperfect,Away/Green,Interference,8,Jalar,Puerta
B2T28,Pedro está comprando la almohada.,Filler,None,PresProg_F,Away/Green,Neither,12,,
B2T29,Hugo supera la naranja.,Filler,None,Present_F,Close/Red,Neither,9,,
B2T30,Victor está tomando la pelota.,Critical,Toward,PresProg,Away/Green,Interference,11,Tomar,Pelota
